Product Name,Style Code,Stock Control,Code,Supplier Code,Supplier,Contact ID
WINDSOR 5240 SERIES - 85MM DOORSTOP CONCEALED SKIRTING FIX - BRASS - MATT SATIN BRASS,5240-MSB,FIFO,WIN5240MSB,5240-MSB,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - MATT SATIN BRASS,5133-MSB,Batch,WIN5133-MSB,5133-MSB,Windsor Brass,2019
WINDSOR 525 SERIES - DOOR CLOSER 2-5 HOLD OPEN PULL SIDE - SATIN CHROME,525-8-0-SC,Batch,WIN52580SC,525-8-0-SC,Windsor Brass,2019
WINDSOR 5242 SERIES - SQUARE CONCEALED FIX FLUSHPULL 102X51MM - MATT BLACK,5242-BLK,Batch,WIN5242BLK,5242-BLK,Windsor Brass,2019
WINDSOR 525 SERIES - DOOR CLOSER 2-5 HOLD OPEN PUSH SIDE - SATIN CHROME,525-9-0-SC,Batch,WIN52590SC,525-9-0-SC,Windsor Brass,2019
WINDSOR 5241 SERIES - OVAL CONCEALED FIX FLUSHPULL 120X40MM - MATT BLACK,5241-BLK,Batch,WIN5241BLK,5241-BLK,Windsor Brass,2019
WINDSOR 5071 SERIES - CAMDEN KNOB SET - SATIN CHROME,5071-SC,FIFO,WIN5071-SC,5071-SC,Windsor Brass,2019
WINDSOR 5195L SERIES - SPLIT RAIL FASTENER - LEFT HAND - SATIN CHROME,5195L-SC,Batch,WIN5195LS,5195L-SC,Windsor Brass,2019
WINDSOR 5195R SERIES - SPLIT RAIL FASTENER - RIGHT HAND - SATIN CHROME,5195R-SC,Batch,WIN5195RS,5195R-SC,Windsor Brass,2019
WINDSOR 5167 SERIES - STAIR RAIL BRACKET CURVED MOUNT 75MM - SATIN CHROME,5167-SC,Batch,WIN5167S,5167-SC,Windsor Brass,2019
WINDSOR 5259 SERIES - SLIDING DOOR EDGE PULL 100 X 20MM - STAINLESS STEEL,5259-SS,Batch,WIN5259SS,5259-SS,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - MATT BLACK,5133-BLK,Batch,WIN5133BLK,5133-BLK,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - OIL RUBBED BRONZE,5133-OR,Batch,WIN5133OR,5133-OR,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - POWDERCOAT,5133-PC,Batch,WIN5133PC,5133-PC,Windsor Brass,2019
WINDSOR 5228 SERIES - OVAL FLUSHPULL - 120 X 40MM - STAINLESS STEEL,5228-SS,Batch,WIN5228SS,5228-SS,Windsor Brass,2019
